ingresos_mensuales,deuda_activa,historial_pagos,antiguedad_laboral,creditos_activos,monto_solicitado,atrasos_previos,dependientes_economicos,utilizacion_credito,en_riesgo
3636.87,26432.7,74.6,13.5,4.0,27502.71,0.0,2.0,,0
8558.65,18641.65,82.2,0.2,1.0,29611.55,1.0,2.0,81.0,0
5237.26,7454.17,50.1,2.3,0.0,12796.11,2.0,1.0,103.4,0
6483.61,12599.95,61.8,,4.0,37276.68,4.0,2.0,53.8,1
5976.98,16023.32,43.3,0.6,6.0,40162.28,6.0,2.0,34.4,1
7580.24,20271.11,37.8,3.7,6.0,2555.76,3.0,4.0,99.1,1
11003.94,13695.01,85.8,,0.0,46155.35,1.0,2.0,34.5,0
6789.87,9578.4,50.8,0.7,4.0,16592.09,4.0,0.0,61.2,0
8560.6,7306.21,9.9,2.1,3.0,32135.57,1.0,2.0,40.0,1
-60.55,3139.4,101.8,0.3,2.0,25930.74,5.0,5.0,59.5,1
6344.1,15885.44,45.4,,4.0,,7.0,0.0,25.5,1
,4773.01,57.6,,2.0,22521.78,5.0,5.0,41.5,0
2599.8,8995.27,99.1,5.2,6.0,13089.24,7.0,0.0,34.4,0
3689.91,14454.88,59.9,2.4,6.0,31285.94,4.0,0.0,70.5,1
5430.8,5976.74,59.4,0.0,4.0,21567.46,6.0,0.0,56.6,0
9430.89,21417.77,36.0,6.5,3.0,9286.93,7.0,1.0,76.6,1
2255.54,24662.01,27.0,3.1,4.0,12579.94,1.0,2.0,28.9,1
6598.02,13055.16,59.3,4.8,6.0,9490.64,5.0,4.0,46.2,0
4950.66,14066.75,71.0,0.7,2.0,18704.91,2.0,3.0,69.5,0
5451.45,22836.87,69.7,0.4,6.0,30821.19,0.0,3.0,76.0,0
9708.83,11574.04,52.4,3.5,4.0,16466.58,1.0,5.0,11.5,0
8221.97,10955.39,63.4,3.2,0.0,36705.3,1.0,0.0,60.9,0
,28768.49,22.6,9.5,5.0,23569.43,1.0,1.0,29.2,0
6005.58,,73.1,,1.0,21527.14,0.0,5.0,77.5,0
4272.98,23413.95,66.6,1.7,3.0,25201.19,7.0,4.0,104.1,1
5783.65,26330.8,106.4,5.2,6.0,41741.86,3.0,0.0,-21.1,1
7275.99,204.49,63.2,0.3,5.0,,1.0,1.0,33.6,0
7065.03,30184.52,42.3,6.9,4.0,44876.4,2.0,2.0,59.4,1
3029.96,21528.56,61.9,5.8,0.0,36521.92,5.0,0.0,51.9,1
6789.57,27097.03,55.8,1.4,6.0,24740.12,5.0,3.0,78.3,1
7230.33,21484.46,72.6,,2.0,39196.31,0.0,3.0,54.2,0
14555.92,18440.32,63.6,0.9,0.0,21130.33,1.0,2.0,37.2,0
12505.9,15522.22,35.3,13.1,6.0,28428.14,4.0,1.0,,1
3769.62,21304.3,27.0,1.1,1.0,18503.03,7.0,2.0,18.7,1
,15194.27,68.8,2.9,2.0,36597.7,0.0,5.0,31.2,0
1816.99,25810.88,93.4,5.0,0.0,16512.93,6.0,4.0,36.2,0
4609.74,3721.89,64.7,0.0,4.0,24383.59,0.0,5.0,62.7,0
7509.94,13125.82,80.9,3.7,6.0,33149.67,3.0,3.0,47.6,0
,36403.41,,5.5,3.0,37578.28,1.0,0.0,33.8,0
4166.93,12365.28,68.9,23.1,6.0,15146.14,3.0,0.0,23.7,0
4406.73,15851.85,141.8,0.5,6.0,34037.66,7.0,1.0,32.3,1
-371.32,10056.77,67.3,1.2,6.0,13216.18,1.0,3.0,36.2,0
5979.47,21022.61,,1.5,1.0,-803.97,5.0,1.0,,0
3100.27,11373.62,74.7,11.2,1.0,16023.24,2.0,1.0,70.8,0
4805.79,16329.5,79.5,4.2,2.0,35015.92,5.0,5.0,90.3,1
3694.05,25639.8,52.8,0.9,4.0,24853.4,0.0,0.0,19.1,0
6198.36,11711.13,58.5,5.9,6.0,18580.02,2.0,0.0,83.3,0
875.27,25097.5,60.4,0.2,2.0,25665.74,7.0,2.0,71.4,1
1805.46,25400.06,61.9,1.5,4.0,25268.8,5.0,4.0,57.0,1
13313.59,27494.6,88.7,4.6,1.0,,7.0,4.0,94.7,1
2380.25,19264.87,11.4,7.7,3.0,5659.48,5.0,1.0,47.2,1
2990.29,47171.33,63.7,7.8,5.0,23771.76,1.0,1.0,63.3,0
12378.12,27490.8,61.3,6.6,2.0,26491.33,3.0,3.0,55.5,0
15796.21,20923.9,32.8,,1.0,8615.56,7.0,5.0,53.4,1
2750.99,10116.68,77.8,7.7,2.0,8451.01,5.0,1.0,64.9,1
5321.6,17126.47,47.1,0.7,5.0,20623.5,4.0,5.0,,1
7592.98,30836.94,55.1,8.8,6.0,25102.29,6.0,4.0,65.1,1
12031.83,33385.81,103.7,3.8,4.0,25144.55,0.0,1.0,33.2,0
3342.06,31304.96,85.2,4.4,4.0,18323.82,7.0,4.0,,1
5715.11,25066.73,75.6,3.7,2.0,17831.98,1.0,3.0,33.1,0
8987.48,6699.06,71.4,1.3,6.0,20257.88,7.0,0.0,41.8,0
7891.25,22384.46,59.4,3.3,6.0,28582.26,6.0,2.0,80.4,1
,6827.38,,1.6,6.0,39935.45,3.0,1.0,39.1,0
6071.77,4612.76,80.6,0.4,6.0,-1644.76,3.0,0.0,70.3,1
2100.33,20152.43,46.5,3.2,3.0,32476.03,0.0,2.0,59.4,0
5737.84,22708.8,32.2,4.4,6.0,23666.18,2.0,4.0,39.6,1
5647.56,26130.39,75.5,0.0,4.0,31308.67,1.0,3.0,88.7,0
7242.94,,61.8,4.1,4.0,39226.52,5.0,0.0,72.6,1
4722.95,22784.27,31.6,1.0,4.0,15938.49,1.0,4.0,52.0,0
8008.92,9138.13,72.4,1.8,1.0,36331.66,6.0,0.0,49.7,1
9740.69,17055.21,57.1,4.4,5.0,,2.0,2.0,54.6,0
6997.37,4435.95,74.7,,2.0,26531.19,6.0,3.0,9.2,1
7625.62,-30.32,72.7,,4.0,22089.8,2.0,5.0,28.9,0
6670.1,24665.78,49.6,12.6,5.0,,6.0,4.0,65.0,1
6500.27,11221.88,76.9,8.9,0.0,13131.59,5.0,1.0,7.7,1
4191.01,25852.49,52.0,5.3,2.0,30242.6,7.0,2.0,31.1,0
,27975.13,,8.7,6.0,44035.45,4.0,5.0,41.0,1
6188.68,12426.14,51.3,0.6,2.0,13337.72,2.0,1.0,133.3,0
13198.14,23312.8,,9.0,4.0,27275.75,5.0,5.0,70.9,0
11534.74,12049.59,56.8,3.0,3.0,35270.48,0.0,3.0,82.7,0
7734.71,1387.09,93.2,4.5,6.0,21439.11,7.0,3.0,29.5,0
4058.22,19109.78,102.2,3.7,3.0,41324.72,5.0,3.0,,0
2940.28,13762.14,46.7,,2.0,19843.74,0.0,5.0,2.7,0
10311.66,14039.2,-1.3,3.1,0.0,23604.46,1.0,4.0,42.7,0
7340.8,35778.09,86.0,3.9,3.0,13082.15,0.0,2.0,66.2,0
8036.46,4267.29,,3.4,4.0,26519.08,5.0,3.0,12.3,0
917.32,21445.84,43.9,18.2,4.0,25036.28,5.0,4.0,63.0,1
9467.8,9046.73,50.0,1.2,5.0,32630.81,1.0,3.0,65.3,0
7954.15,26174.35,53.9,2.6,5.0,17365.53,4.0,0.0,35.1,0
2946.62,20685.88,91.5,4.2,3.0,16816.05,3.0,5.0,28.6,0
4991.12,21414.1,66.5,3.7,0.0,30549.91,3.0,1.0,32.0,1
7343.9,9495.99,,1.0,1.0,41766.29,4.0,3.0,42.3,0
6667.89,11109.71,73.9,5.3,2.0,32548.12,6.0,3.0,,0
5565.05,26345.25,56.2,2.4,6.0,47168.95,7.0,0.0,66.3,1
6168.84,33937.18,54.4,,5.0,31663.69,1.0,5.0,37.0,0
5693.67,22322.77,75.4,4.8,6.0,,7.0,0.0,96.9,1
6988.2,9923.21,81.0,7.4,6.0,33151.51,4.0,5.0,96.7,0
,21050.45,84.9,0.6,0.0,42858.05,1.0,5.0,58.6,0
-1713.31,39847.25,57.2,0.3,0.0,39850.84,7.0,3.0,42.4,0
5742.08,18921.81,66.9,3.5,4.0,11981.46,2.0,5.0,37.1,0
7064.84,31156.57,75.8,0.1,1.0,34606.98,3.0,5.0,60.9,1
7447.18,11337.04,54.6,6.0,6.0,28184.28,7.0,5.0,65.8,0
5309.87,17621.23,38.0,6.7,3.0,22671.58,4.0,4.0,46.4,1
878.49,23576.09,45.3,4.4,0.0,3724.85,1.0,5.0,41.0,1
7549.59,21575.95,,4.2,1.0,6518.07,0.0,4.0,61.9,0
12027.52,,77.6,0.1,2.0,20626.39,6.0,5.0,53.9,0
1591.64,10714.34,,11.9,0.0,7424.9,2.0,0.0,36.0,0
9264.25,26894.56,33.2,0.9,2.0,20874.92,0.0,2.0,55.2,0
5448.72,28723.96,49.9,4.3,3.0,33572.1,0.0,2.0,35.1,1
6303.76,31609.29,,22.0,6.0,18028.52,7.0,5.0,31.0,0
3130.72,34235.37,80.5,2.5,4.0,26001.55,4.0,2.0,51.9,1
5429.74,19211.57,51.4,2.1,0.0,12160.58,4.0,2.0,35.9,0
10660.14,15199.21,53.5,6.5,2.0,28585.21,4.0,4.0,31.5,1
8364.5,30158.92,31.9,1.4,5.0,31097.62,3.0,3.0,81.3,1
12043.4,24417.62,73.6,2.4,2.0,7924.79,7.0,3.0,41.0,1
10267.72,9157.9,59.4,1.6,3.0,15977.36,4.0,5.0,103.6,1
7905.08,,,8.6,6.0,9793.96,5.0,4.0,69.5,1
12080.59,22427.37,57.3,5.1,0.0,31110.58,7.0,4.0,29.0,1
7904.78,16404.53,87.8,2.9,3.0,26968.08,0.0,5.0,84.5,0
9149.56,17762.13,40.9,38.6,4.0,24403.46,2.0,0.0,31.9,0
5550.97,27652.8,44.5,4.5,5.0,23460.62,6.0,3.0,107.3,1
6712.95,24831.33,90.5,0.9,5.0,28874.03,0.0,0.0,58.3,0
4268.24,29968.86,64.7,6.5,2.0,29114.22,2.0,4.0,67.2,0
9666.67,616.18,77.7,13.5,3.0,19053.07,1.0,0.0,52.9,0
2729.43,20280.58,71.8,5.7,5.0,17372.84,5.0,3.0,59.4,1
9003.52,24252.2,62.2,5.0,5.0,24292.06,6.0,4.0,45.6,0
5889.92,4260.73,55.3,2.2,5.0,22723.18,2.0,3.0,26.1,0
10247.99,12105.94,81.3,1.6,4.0,49728.19,5.0,0.0,61.5,0
8902.78,10435.63,88.6,9.0,1.0,20393.26,6.0,2.0,80.7,1
12326.07,18195.28,86.9,1.5,2.0,28475.98,7.0,4.0,18.7,0
8838.48,32650.69,36.9,0.0,4.0,30591.12,7.0,5.0,95.1,1
1469.47,36203.3,91.7,1.8,1.0,41806.29,3.0,5.0,68.8,1
6285.75,10671.41,55.1,0.6,4.0,15265.78,0.0,4.0,39.8,0
2749.58,22739.02,46.4,5.6,3.0,41075.77,5.0,1.0,39.3,1
4841.5,23029.18,59.3,1.6,3.0,23231.25,4.0,4.0,104.2,1
11335.93,21488.63,81.3,3.8,2.0,55016.14,3.0,1.0,78.3,1
8540.11,21590.82,74.9,0.5,5.0,29351.23,4.0,1.0,83.9,0
4263.42,20733.68,57.4,15.1,3.0,10252.85,5.0,1.0,45.0,0
3256.1,33188.13,81.4,,2.0,22634.1,2.0,2.0,67.6,0
6604.9,27922.2,66.1,5.5,2.0,41035.23,2.0,5.0,61.8,0
2607.01,8458.61,50.4,9.0,3.0,25978.49,2.0,5.0,,0
4352.35,,47.4,0.1,4.0,24284.5,3.0,5.0,,1
7498.43,26031.36,72.0,19.6,6.0,33627.97,5.0,5.0,83.1,0
10197.0,20834.71,61.2,,2.0,20860.03,0.0,0.0,96.8,0
8448.04,28182.82,32.7,11.2,1.0,22471.2,2.0,5.0,45.0,0
-832.13,19692.67,81.6,3.3,6.0,13663.91,5.0,5.0,15.2,1
7473.97,19804.21,106.6,2.4,1.0,45745.85,0.0,4.0,98.0,0
6730.51,19091.16,98.0,5.7,6.0,10328.66,6.0,0.0,98.4,1
7824.45,-164.2,32.1,12.3,0.0,27033.6,6.0,4.0,63.2,1
11671.87,17276.41,59.0,6.3,2.0,30758.61,2.0,4.0,102.2,0
-102.36,,47.6,1.6,6.0,24836.19,5.0,0.0,61.2,1
4608.47,7321.97,41.5,,1.0,9953.65,3.0,1.0,26.5,1
